gene,group,n_pos,n_neg,auc,ap,best_thr,tpr_at_best,fpr_at_best,f1_at_best,acc_at_best,pred_mean,pred_std,note
EGFR,high,13,70,0.6428571428571428,0.35050436243418703,0.23016561567783356,0.7692307692307693,0.45714285714285713,0.36363636363636365,0.5783132530120482,0.2924510146300477,0.23062392537814666,
KRAS,high,22,61,0.46199701937406856,0.2541704805140483,0.6246448755264282,0.3181818181818182,0.26229508196721313,0.3111111111111111,0.6265060240963856,0.3953282368195479,0.3130681541625412,
ALK,high,11,72,0.513888888888889,0.17431330694381833,0.44881319999694824,0.36363636363636365,0.125,0.3333333333333333,0.8072289156626506,0.22404390289616513,0.20938600619700137,
ROS1,low,5,78,0.7051282051282051,0.14577827969132318,0.1394585371017456,0.8,0.24358974358974358,0.2857142857142857,0.7590361445783133,0.1292211672255481,0.16343399081028495,
TP53,high,56,27,0.47751322751322756,0.6428289909051434,0.32444578409194946,0.9464285714285714,0.8148148148148148,0.8091603053435115,0.6987951807228916,0.6245263093656086,0.20364510804374927,
BRAF,high,9,74,0.5480480480480481,0.22761103896985038,0.09800856560468674,0.7777777777777778,0.5945945945945946,0.23333333333333334,0.4457831325301205,0.16197496998447825,0.17792551387920214,
PIK3CA,low,6,77,0.4783549783549783,0.0751638670934919,0.044447124004364014,1.0,0.7662337662337663,0.16901408450704225,0.2891566265060241,0.10084825350218508,0.08320620206286207,
ERBB2,low,6,77,0.5303030303030303,0.08395317947831119,0.03735167160630226,0.8333333333333334,0.5974025974025974,0.17543859649122806,0.43373493975903615,0.1079092496327203,0.17963674864476076,
NRAS,low,2,81,0.4320987654320988,0.03075489282385834,0.017079513520002365,1.0,0.691358024691358,0.06666666666666667,0.3253012048192771,0.056860091679460226,0.09181036130907494,
